title,author,musicType
Exit Music-C调简单版-西部世界插曲,Ramin Djawadi,影视
Fractures-Illenium ft Nevve,Illenium,流行
Kiss And Make Up-Dua Lipa ft Blackpink,Dua Lipa,流行
Mad Woman-Taylor Swift,Taylor Swift,流行
刻在我心底的名字-C调简单版,陈昊森,流行
梦渡-C调简单版-如意芳霏片尾曲,鞠婧祎,影视
秋~华恋~-C调简单版,α·pav,轻音乐
Holiday-圣诞主题歌曲,Lil Nas X,流行
scaPEGoat-终结的炽天使ED,SawanoHiroyuki[nZk]:Yosh,动漫
Mirrorball-Taylor Swift,Taylor Swift,流行
城府-C调简单版,许嵩,流行
过了很久-C调简单版-屋塔房王世子OST,白智英,影视
巷-C调简单版,洛天依,流行
云与海-如果世间万物能跨越能相爱也能成全云与海-抖音热歌,阿YueYue,流行
Prisoner-Miley Cyrus ft Dua Lipa,Miley Cyrus,流行
Monster-Shawn Mendes ft Justin Bieber,Shawn Mendes,流行
冬日-鞠婧祎和SNH48,鞠婧祎,流行
回不去的海-浪漫输给你插曲,蔡佩轩,影视
能解答一切的答案-妙先生片尾曲,周深,影视
優しさの雨に抱かれて,アッチョリケ,轻音乐
Mans World-Marina,Marina,流行
回不去的从前-周延英,周延英,流行
看不见的光-C调简单版-以家人之名插曲,赵贝尔,影视
配角-C调简单版,周思涵,流行
情人-C调简单版,蔡徐坤,流行
Life Goes On-防弹少年团,防弹少年团,流行
My Head My Heart-Ava Max,Ava Max,流行
La Di Da-Everglow,Everglow,流行
The Fading Stories-不再年轻的村庄-原神轻策庄背景音乐,陈致逸,轻音乐
三更情诗-C调简单版,周思涵,流行
守候-C调简单版-薛之谦,薛之谦,流行
Telepathy-防弹少年团,防弹少年团,流行
Can We Kiss Forever-C调简单版,Kina,流行
Have Yourself a Merry Little Christmas-C调简单版-圣诞歌曲,Judy Garland,流行
I Just Want To Stay With You-The King永远的君主插曲,Zion.T,影视
Rockin Around the Christmas Tree-C调简单版-圣诞歌曲,Brenda Lee,流行
血汗泪-Blood Sweat Tears-C调简单版,防弹少年团,流行
Evolve-淬炼-2020年王者荣耀世界冠军杯主题曲,王者荣耀,流行
Stay-防弹少年团,防弹少年团,流行
Wonderful U-C调简单版,AGA,流行
告白バンジージャンプ-告白蹦极-租借女友ED,Halca,动漫
古画-C调简单版-如意芳霏插曲,鞠婧祎,影视
今天的你如此可爱-C调简单版,崔雅然,流行
Kingslayer-Bring Me the Horizon ft Babymetal,Bring Me the Horizon,流行
Obey-Bring Me the Horizon ft Yungblud,Bring Me the Horizon,流行
Blue Grey-防弹少年团,防弹少年团,流行
バイ・マイ・サイ-在我身边-Radwimps,Radwimps,流行
The Tracks of My Tears,Smokey Robinson,流行
惜花时-C调简单版-天官赐福花怜同人曲,离梦lc,流行
1022-比尔的歌-他们说今晚的夜色很好应该有个人对我来撒娇-抖音热歌,Bomb比尔,流行
キボウだらけのEVERYDAY-满溢的水果挞OP,水果挞,动漫
三一来临歌-新编赞美诗第2首,Felice de Giardini,流行
圣哉三一歌-初级-新编赞美诗第1首,John Bacchus Dykes,流行
万世之宗歌-初级-新编赞美诗第3首,J. Albert Jeffery,流行
万圣街-万圣街动画主题曲,洛天依,动漫
我不做英雄-梦回鹿鼎记主题曲,胡歌,影视
Love Not War The Tampa Beat-抖音热门背景音乐,Jason Derulo,流行
This Game-C调简单版-NO GAME NO LIFE 游戏人生主题曲,铃木木乃美,动漫
親愛なるあの日々へ-Days of Love,松本文紀,轻音乐
一念众生-天官赐福16P群像曲,GMN-宏宇,流行
月に浮かぶ物语-BEASTARS ED4,YURiKA,动漫
寒意-原创音乐,M小冯哒,原创
Shut Up-Ariana Grande,Ariana Grande,流行
Dont Cry for Me,Alok,流行
宾克斯的美酒-C调简单版,田中公平,动漫
给电影人的情书-C调简单版-一秒钟推广曲,单依纯,影视
千灯愿-天官赐福花怜同人,弦森,流行
仙剑问情-完美版,萧人凤,流行
最向往的地方-C调简单版-Soul《心灵奇旅》中文主题曲,林俊杰,流行
Moonlight-想哭的我戴上了猫的面具,窪田ミナ,影视
第一千次恋爱-天官赐福花怜同人曲,李蚊香,流行
干物女-C调简单版,艾辰,流行
环游星空-C调简单版-我想环游整片星空找到你的星球-抖音爆火歌曲,Gifty,流行
剪刀刺客-刺客伍六七主题曲,大主宰乐团,动漫
三千明灯花满城-天官赐福花怜同人曲,唐茉,流行
耗尽-薛之谦郭聪明感怀单曲,薛之谦,流行
Oh Santa-圣诞歌曲,Mariah Carey,流行
One Day-排球少年TO THE TOP片尾曲,SPYAIR,动漫
恋西游-C调简单版-梦幻西游之化境飞升主题曲,TFBOYS,动漫
Memory-C调简单版-入殓师主题曲,久石让,影视
天命独绝-天官赐福同人群像,华语群星,流行
无论你多怪异我还是会喜欢你-刺客伍六七片尾曲,江惠莲,动漫
Feliz Navidad-简单版-圣诞歌曲,José Feliciano,流行
大天蓬-C调简单版-怕什么天道轮回什么魄散魂飞-抖音热歌,李袁杰,影视
酒醉的雨滴,蒋婴,流行
你的万水千山-C调简单版-我曾经等过你因为我也相信-抖音热歌,海来阿木,流行
一决高下-伍六七之最强发型师OST,侯俊杰,动漫
与君知-天官赐福花怜原创同人曲,李蚊香,流行
Baby Lady LOVE-猫娘乐园片头曲,Ray,影视
Carol Of The Bells-C调简单版-卡罗尔的钟声-圣诞颂歌,Mykola Leontovych,流行
Lets Be Friends Lena Theme,Sergey Eybog,轻音乐
笨小孩-刘德华,刘德华,流行
年轮-完整好听版,张碧晨,影视
是但求其爱-陈奕迅,陈奕迅,流行
Blackheart-Two Steps from Hell,Two Steps from Hell,轻音乐
Ice Cream-Blackpink ft Selena Gomez,Blackpink,流行
WAP-Cardi B ft Megan Thee Stallion,Cardi B,流行
7 Summers-Morgan Wallen,Morgan Wallen,流行
千里相从-C调简单版-二哈和他的白猫师尊原创同人曲,小旭音乐,流行
我怕你不在-C调简单版,周思涵,流行
Dear John-你的爱会将我灌醉我没有所谓-抖音,比莉,流行
后翼弃兵主题曲-The Queens Gambit,Carlos Rafael Rivera,影视
ゼロセンチメートル-简单版,大原由衣子,动漫
第一千次恋爱-C调简单版,李蚊香,流行
断了的弦-周杰伦,周杰伦,流行
Bilibili入站歌,飞剑,轻音乐
与君知-C调简单版,李蚊香,流行
A Holly Jolly Christmas-C调简单版-Have a Holly Jolly Christmas,Burl Ives,流行
Willow-Taylor Swift,Taylor Swift,流行
Christmas Saves the Year-Twenty One Pilots,Twenty One Pilots,流行
Dark Darker Yet Darker-传说之下BGM-Undertale BGM,SharaX,轻音乐
踏山河-C调简单版-而我枪出如龙乾坤撼动一啸破苍穹-抖音,是七叔呢,流行
Christmas Time-Bryan Adams,Bryan Adams,流行
Underneath the Tree-Kelly Clarkson-圣诞主题歌,Kelly Clarkson,流行
Wonderful Christmastime-Paul McCartney-圣诞歌曲,Paul McCartney,流行
轻策庄Night Ver-轻策庄夜间-原神OST,陈致逸,轻音乐
我也不想这样-C调简单版,王菲,流行
夏天的秘密-C调简单版-醉美轻音乐,邱有句,轻音乐
星火燎原-红歌,孔祥华,原创
Gold Rush-Taylor Swift,Taylor Swift,流行
Long Story Short-Taylor Swift,Taylor Swift,流行
Champagne Problems-Taylor Swift,Taylor Swift,流行
No Body No Crime-Taylor Swift,Taylor Swift,流行
相思花-吉原彼岸花主题曲,Riryka,流行
小奏鸣曲-C调简易版,克莱门蒂,经典
写给我第一个喜欢的女孩的歌-C调简单版,洛天依,流行
Sound of Walking Away-Illenium ft Kerli,Illenium,流行
Last Christmas-C调简单版,Taylor Swift,流行
Silent Night-C调简单版-平安夜,Franz Gruber,经典
The First Noel-C调简单版-第一个圣诞,John Stainer,经典
Tis the Damn Season-圣诞歌曲-Taylor Swift,Taylor Swift,流行
Walking In The Air-C调简单版,Celtic Woman,流行
夏天的思念-C调简单版,邱有句,轻音乐
Christmas Baby Please Come Home-圣诞歌曲,Darlene Love,流行
Here Comes Santa Claus-圣诞歌曲-简单版,Gene Autry,流行
Mele Kalikimaka-Merry Christmas-圣诞歌曲-简单版,R. Alex Anderson,流行
Run Rudolph Run-圣诞歌曲-简单版,Chuck Berry,流行
This Christmas-圣诞歌曲,Donny Hathaway,流行
衝撃-进击的巨人The Final Season ED,安藤裕子,动漫
Merry Christmas Mr Lawrence,坂本龙一,影视
一花一剑-天官赐福插曲,李鑫一,动漫
茫-C调简单版-我试着把孤独藏进耳机用琴键代替-抖音热歌,李润祺,流行
Driving Home for Christmas-圣诞歌曲,Chris Rea,流行
Take You Down-Illenium,Illenium,流行
Reminds Me of You-Juice Wrld ft The Kid Laroi,Juice Wrld,流行
Little Saint Nick-圣诞主题歌曲,The Beach Boys,流行
Sleigh Ride-圣诞歌曲-简单版,The Ronettes ,流行
世有长歌-橙光月色长歌主题曲-C调简单版,千是,流行
未见青山老-C调简单版,以冬,流行
书记舞-千花舞-藤原书记魔性舞蹈BGM,藤原千花,动漫
天堂岛之歌-Hide and Seek,周深,流行
No No No-TheFatRat,TheFatRat,流行
Nothing In The World-Atomic Kitten,Atomic Kitten,流行
Happiness-Taylor Swift,Taylor Swift,流行
无字歌-隐秘而伟大OP,王梓赫Ray,影视
Blue Christmas-圣诞歌曲,Elvis Presley,流行
Afterglow-Ed Sheeran,Ed Sheeran,流行
Ivy-Taylor Swift,Taylor Swift,流行
海角七号-C调简单版-多情愫今安在插曲,东来东往,影视
泥销骨-C调简单版-魔道祖师忘羡,南风ZJN,流行
僕の戦争-进击的巨人The Final Season OP,神圣放逐乐队,动漫
千灯愿-C调简单版,弦森,流行
Merry Christmas Everyone-圣诞歌曲,Shakin' Stevens,流行
Fairytale of New York-圣诞歌曲,The Pogues,流行
Clouds-云上情歌OST,Fin Argus,影视
Storyteller-关于我转生变成史莱姆这档事第二季OP,True,动漫
Dorothea-Taylor Swift,Taylor Swift,流行
Marjorie-Taylor Swift,Taylor Swift,流行
熹微-有翡插曲,王一博,影视
Dior-Pop Smoke,Pop Smoke,流行
陌上花开-C调简单版-天涯明月刀一周年纪念曲,小爱的妈,流行
三国恋-C调简单版-七剑下天山主题曲,Tank,影视
是风动-C调简单版,银临,流行
天命独绝-C调简单版,华语群星,流行
余生渡-C调简单版-二哈和他的白猫师尊同人曲,小曲儿,流行
Cowboy Like Me-Taylor Swift,Taylor Swift,流行
Christmas Love-防弹少年团朴智旻Jimin圣诞纪念新曲,朴智旻,流行
Shot in the Dark,AC DC,流行
Girl like Me,Black Eyed Peas,流行
Rags2Riches-Rod Wave ft ATR SonSon,Rod Wave,流行
The Door-文豪野犬 DEAD APPLE插曲,岩崎琢,影视
齐来谢主歌-初级-新编赞美诗第10首,Johann Crüger,经典
颂主恩光歌-初级-新编赞美诗第9首,史奇珪,流行
醒不来的梦-你是我触碰不到的风醒不来的梦-抖音热歌,回小仙,流行
错季-春的颜色不走进秋季有些爱情就经不起季节轮替-抖音热歌,秋原依,流行
Dream Glow-防弹少年团和Charli XCX,防弹少年团,流行
Abyss-防弹少年团金硕珍Jin,金硕珍,流行
Interlude-Alan Walker,Alan Walker,流行
Share Your Address-本普拉特无线电城现场秀插曲,Ben Platt,影视
Seven-Taylor Swift,Taylor Swift,流行
阿拉斯加海湾-以后的日子你要好好照顾她我不在她身旁你不能欺负她-抖音热歌,蓝心羽,流行
夜尽光天歌-初级-新编赞美诗第7首,法国教会传统曲调,流行
West Coast-Imagine Dragons,Imagine Dragons,流行
君に最後の口づけを-最后一次亲吻你,majiko,流行
玛尼情歌-C调简单版-太阳的雅鲁藏布啊月亮的日喀则-抖音,上官红燕,流行
漫步秋夜-赵海洋,赵海洋,轻音乐
小棋童-C调简单版,双笙,流行
亚伯拉罕的主歌-初级-新编赞美诗第5首,Myer Lyon,流行
夜的第七章-周杰伦,周杰伦,流行
余生请多指教-肖战杨紫合唱余生请多指教同名主题曲,肖战,影视
最幸运的幸运-余生请多指教插曲-肖战,肖战,影视
Nameless Story-完整版,寺岛拓笃,动漫
Dolphin-Oh My Girl,Oh My Girl,流行
Invisible-Anna Clendening,Anna Clendening,流行
好春光-春光灿烂猪八戒主题曲,吴彤,影视
话不好说-陈芳语,陈芳语,流行
众圣颂扬歌-初级-新编赞美诗第8首,Athelstan Riley,流行
Boombayah-Blackpink,Blackpink,流行
Counting Stars-C调简单版,OneRepublic,流行
Anyone-Justin Bieber,Justin Bieber,流行
The 1-Taylor Swift,Taylor Swift,流行
荣归天父歌-初级-新编赞美诗第11首,威廉·霍华德·杜安,流行
真美歌-初级-新编赞美诗第13首,杨荫浏,流行
Are you OK-雷军-Angelina,雷军,流行
For the Night,Pop Smoke,流行
浮生辞-C调简单版,银临,流行
Toy War-节奏大师神曲,M2u,轻音乐
送你一朵小红花-电影同名主题曲,赵英俊,影视
赞美三一歌-初级-新编赞美诗第6首,Horatius Bonar,流行
Gnat-Eminem,Eminem,流行
One Last Time-汉密尔顿OST,Christopher Jackson,影视
Right Where You Left Me-Taylor Swift,Taylor Swift,流行
四季予你-送你三月的风六月的雨九月的风景-抖音热歌,程响,流行
赞我天父歌-初级-新编赞美诗第4首,John J. Husband,流行
长安忆-C调简单版-かざぐるま-风车,音频怪物,流行
Bloody Stream-JOJO的奇妙冒险战斗潮流OP,Coda,动漫
Chippin In-赛博朋克2077背景音乐,Refused,流行
Moon in Ones Cup-原神OST,陈致逸,轻音乐
看不见的风景-C调简单版,许嵩,流行
泸沽寻梦-C调简单版,银临,流行
颂主化功歌-初级-新编赞美诗第12首,鲁特,流行
迟迟-薛之谦,薛之谦,流行
Coming Home-Skylar Grey,Skylar Grey,流行
There Is No Way-Lauv ft Julia Michaels,Lauv,流行
伤声-C调简单版,许嵩,流行
双人旁-C调简单版,许嵩,流行
岁月神偷-合唱版-旋律谱,汪苏泷,流行
失眠播报-简单版-失去了随时问候的播报-一个人远眺看天空破晓-抖音,林晨阳,流行
My Hair-Ariana Grande,Ariana Grande,流行
Obvious-Ariana Grande,Ariana Grande,流行
白月光与朱砂痣-简单版-白月光在照耀你才想起她的好-抖音热歌,大籽,流行
和光同尘-你看那盛放的花儿来自期盼的种子-大江大河2主题曲-抖音,周深,影视
夜に駆ける-奔向黑夜-Yoasobi,Yoasobi,流行
月光酿-C调简单版,以冬,流行
别再问我什么是迪斯科-张蔷,张蔷,流行
简单的幸福-不会再有孤独再漫长的旅途等下一站结束-抖音热歌,罗聪,流行
旅人の唄-无职转生 到了异世界就拿出真本事OP,大原由衣子,动漫
千秋令-唯美古风,银临,流行
相爱后动物感伤-张惠妹,张惠妹,流行
缘定一生-冰橙汁应援曲-琉璃初遇夫妇,星川Haruto,流行
Force-境界触发者第二季片头曲,TXT,动漫
アイデンティティ-约定的梦幻岛第2期OP,秋山黄色,动漫
爱的回归线-爱情公寓3插曲-C调简单版,陈韵若,影视
裁梦为魂-C调简单版,银临,流行
色香水-堀与宫村OP,神山羊,动漫
Safety Net-Ariana Grande ft Ty Dolla Sign,Ariana Grande,流行
Fly To My Room-防弹少年团,防弹少年团,流行
Into the I-Land-真人秀I-land主题曲,IU,流行
Tolerate It-Taylor Swift,Taylor Swift,流行
飞羽-C调简单版-梦幻诛仙主题曲,董贞,流行
花满楼-C调简单版,许嵩,流行
Dakiti-Bad Bunny ft Jhay Cortez,Bad Bunny,流行
镜花水月-C调简单版,双笙,流行
芒种-适配版,音阙诗听,流行
雨幕-C调简单版-新天龙八部主题曲,许嵩,流行
错位时空-简单版-我吹过你吹过的晚风那我们算不算相拥-抖音热歌,艾辰,流行
麻痺-243清阴高中男子排球社OP,yama,动漫
白月光与朱砂痣-好听版,大籽,流行
Its Time to Go-Taylor Swift,Taylor Swift,流行
Untitled World-明日方舟一周年纪念曲,ReoNa,流行
ケモノミチ-怪物事变OP,小野大辅,动漫
渐冷-简单版-你能不能再爱我一遍像以前以前你都是热烈-抖音热歌,雪二,流行
千千万万-简单版-这是千千万万万万千千个日夜是我对你说不尽的思念-抖音热歌,深海鱼子酱,流行
有点甜-C调简单版,汪苏泷,流行
A New Day with Hope-希望的新一天-原神-风与牧城OST,陈致逸,轻音乐
もぺもぺ-Mopemope,LeaF,流行
恋爱告急-C调简单版,鞠婧祎,流行
请不要对我说Sorry-C调简单版,何洁,流行
有何不可-C调简单版,许嵩,流行
宇宙之大-C调简单版,许嵩,流行
枕边童话-你是那童话里的公主站在光明处-抖音热歌,小田音乐社,流行
Lost in the Fire-Gesaffelstein ft The Weeknd,Gesaffelstein,流行
Drown-Martin Garrix ft Clinton Kane,Martin Garrix,流行
What You Know Bout Love-Pop Smoke,Pop Smoke,流行
如约而至-C调简单版,许嵩,流行
我离孤单几公里-C调简单版,华晨宇,流行
新闻联播片尾曲-Together Again-C调简单版,Alastair Gavin,经典
Like You Do-Joji,Joji,流行
Put Your Records On-Ritt Momney,Ritt Momney,流行
The Business-Tiesto,Tiesto,流行
都不会变-C调简单版-天舞纪片尾曲,叶炫清,影视
如果能幸福-C调简单版-戒指流浪记片尾曲,周兴哲,影视
千千万万-C调简单版,深海鱼子酱,流行
Lalalilala-April,April,流行
Modus-Joji,Joji,流行
Didnt I-OneRepublic,OneRepublic,流行
渺小-C调简单版,田馥甄,流行
一梦情深-C调简单版-月上重火插曲,银临,影视
月若流金-C调简单版,阿杰729,影视
星辰大海-我向你奔赴而来你就是星辰大海-抖音热歌,黄霄雲,流行
美人画卷-时光怎不经一生浮浮沉沉已半生-抖音歌曲,闻人听書_,流行
Beyond The Trails Of Tears-Amanecer Ecuador,Amanecer Ecuador,轻音乐
Chemtrails Over The Country Club-Lana Del Rey,Lana Del Rey,流行
Lo Vas A Olvidar-亢奋特别篇插曲,Billie Eilish,影视
刻在我心底的名字-原调完整版,陈昊森,影视
星辰大海-央视电影频道青年演员计划主题曲,群星,流行
越人歌-C调简单版,河图,流行
De Una Vez-Selena Gomez,Selena Gomez,流行
VIVID VICE-咒术回战OP2,Who-ya Extended,动漫
横颜-Aria the Origination OST,牧野由依,影视
花西子-C调简单版,周深,流行
简单的幸福-C调简单版,罗聪,流行
今夕何夕-C调简单版-今夕何夕主题曲,徐佳莹,影视
星辰大海-简单版-会不会我们的爱会被风吹向大海不再回来-抖音,黄霄雲,流行
出现又离开-我和你本应该各自好各自坏-抖音热歌,梁博,流行
原神龙脊雪山BGM,陈致逸,轻音乐
三号线-C调简单版-乘坐地铁三号线往返的两点一线-抖音歌曲,刘大壮,流行
清空-是我爱的太蠢太过天真才会把你的寂寞当作契合的灵魂-抖音热歌,王忻辰,流行
万国觉醒-邓紫棋,邓紫棋,流行
误红妆-C调简单版,等什么君,流行
楽園-Dr Stone Stone Wars OP,Fujifabric,动漫
Upgrade-Joji,Joji,流行
House With No Mirrors-Sasha Sloan,Sasha Sloan,流行
Dream-Shawn Mendes,Shawn Mendes,流行
Sofia-Clairo,Clairo,流行
One Day-Tate McRae,Tate McRae,流行
一心一念-北灵少年志之大主宰片尾曲,欧阳娜娜,影视
River-歌舞青春音乐剧OST,Olivia Rodrigo,影视
We Will Meet Again,TheFatRat,流行
该怎么说再见-太过努力太过聪明太过算计太不容易-抖音热歌,胜屿,流行
花心-张碧晨走心翻唱,张碧晨,流行
或是一首歌-田馥甄,田馥甄,流行
月と星空-总之就是非常可爱ED,KanoeRana,动漫
Queen of Broken Hearts-Blackbear,Blackbear,流行
Oh My God-GI-dle,(G)I-dle,流行
バケモノと呼ばれて-无能的奈奈ED,藤川千爱,动漫
浦岛虎彻-刀剑乱舞近侍曲,母里治樹,轻音乐
杀猪刀-刀个刀个刀刀那是什么刀-抖音,杨浩龙,流行
伤了你的心的我伤心-孟庭苇,孟庭苇,流行
Coalescence-雨中冒险BGM,Chris Christodoulou,轻音乐
Mice on Venus-我的世界BGM,C418,轻音乐
等你归来-简单版-我在红尘等你人间等你守繁华之外-抖音热歌,程响,流行
犯错-C调简单版,斯琴高丽,流行
谷雨-C调简单版,CMJ,轻音乐
果敢ない壁-桐崎栄二玩妹系列片尾曲,桐崎荣二,流行
小乌龟-C调简单版-微笑Pasta主题曲,张栋梁,影视
Whoopty-CJ,CJ,流行
Forget Me Too-Machine Gun Kelly ft Halsey,Machine Gun Kelly,流行
My Exs Best Friend,Machine Gun Kelly,流行
酒家-C调简单版-待她笑颜如花笔墨山河入画-抖音歌曲,小阿七,流行
你的轮廓-简单版-我穿过所有浪漫银河所有城市烟火-抖音,叶琼琳,流行
水上灯-C调简单版-伍觉火元素主题曲,Braska,流行
Soldi-Mahmood,Mahmood,流行
狐狸雨-我的女友是九尾狐ED,李仙姬,影视
错位时空-完美版,艾辰,流行
说好了不见面-C调简单版,小贱,流行
酸葡萄-C调简单版,庄心妍,流行
指纹-C调简单版,胡歌,影视
Forest Maiden-永恒之夏OST-Everlasting Summer,Sergey Eybog,轻音乐
Lifestyle-Jason Derulo ft Adam Levine,Jason Derulo,流行
The Bakery-Melanie Martinez,Melanie Martinez,流行
你那里下雪了吗-周亮,周亮,流行
我应该去爱你-C调简单版-姐姐立正向前走ED,汪东城,影视
漩涡-C调简单版,彭羚,流行
Baila Conmigo-Selena Gomez ft Rauw Alejandro,Selena Gomez,流行
Leshphon-DNF-痛苦之村列瑟芬,DNF,轻音乐
Sad Song-We The Kings ft Elena Coats,We The Kings,流行
镜心之歌-魁拔2片尾曲,邵夷贝,影视
突然心动-C调简单版-兰陵王插曲,陈晓东,影视
在夜里跳舞-单依纯,单依纯,流行
浪子闲话-我饮过风咽过沙浪子无钱逛酒家-抖音热歌,花僮,流行
Mad at Disney-Salem Ilese,Salem Ilese,流行
I Will Follow You Into the Dark,Yungblud,流行
Head Heart-Joel Corry ft MNEK,Joel Corry,流行
Black and White-Niall Horan,Niall Horan,流行
依兰爱情故事-你好李焕英ED-老妹儿啊你等会儿啊,方磊,影视
资深庸才-周深与王子,周深,流行
Sunflower-吉他指弹曲目片段-钢琴版改编,孙培博,轻音乐
Without You-The Kid Laroi,The Kid Laroi,流行
Better-Zayn,Zayn,流行
恋爱告急-完整版,鞠婧祎,流行
如约而至-完整版,许嵩,流行
岁月神偷合唱版-Piano钢琴伴奏,汪苏泷,流行
Fish in the Pool-花与爱丽丝杀人事件原声,岩井俊二,影视
策马正少年-斗罗大陆主题曲,肖战,影视
On My Way-唐人街探案3插曲,萨吉,影视
怜城辞-天官赐福第二季主题曲,鹿晗,动漫
最亲的人-2021央视春晚神曲,岳云鹏,流行
大丈夫-天气之子插曲,RADWIMPS,影视
B Me-Stray Kids,Stray Kids,流行
Track In Time-Dennis Kuo,Dennis Kuo,轻音乐
Slow Down-Why Dont We,Why Don't We,流行
傲立云端-斗罗大陆片头曲,高泰宇,影视
重启-重启之极海听雷主题曲,张韶涵,影视
Just For You-只为你-Giovanni Marradi,Giovanni Marradi,轻音乐
野心-缉魂推广曲,薛之谦,影视
萱草花-你好李焕英插曲,张小斐,影视
给不了你未来-我给你的爱不能再重来-抖音热歌,张家旺,流行
TA-简单版-她站在地球的另一边看月亮-抖音热歌,不是花火呀,流行
Save Myself-Ashe,Ashe,流行
Five Hundred Miles-500 Miles-醉乡民谣主题曲,Justin Timberlake,影视
傲立云端-C调简单版,高泰宇,影视
Sorry-Alan Walker ft ISAK,Alan Walker,流行
沈园外-简单版-在池台的正中像当初的怀中-抖音热歌,阿YueYue,流行
月光酿-完整版,以冬,流行
Floating Through Space,Sia,流行
Tattoos Together-Lauv,Lauv,流行
靠近一点-C调简单版-恋爱播放列表插曲,周思涵,影视
人间惊鸿客-简单版-叹人间一去风流唯少年-抖音热歌,叶里,流行
黄裙舞女-原创,初学者_,原创
HWAA-火花,(G)I-DLE,流行
Drip Like Me-Kenndog,Kenndog,流行
90s Love-NCT,NCT,流行
把你揉碎捏成苹果-薛之谦,薛之谦,流行
越漫长越疯狂-C调简单版-亲爱的自己插曲,陈雪凝,影视
放飞-简单版-赘婿主题曲,许嵩,影视
Forever After All-Luke Combs,Luke Combs,流行
Faded In My Last Song,NCT U,流行
冬がくれた予感-冬天带给我的预感-LoveLive,BiBi,动漫
漫长的告白-C调简单版-暗恋橘生淮南OP,双笙,影视
红绝-天官赐福动画片尾曲,胡夏,动漫
血腥爱情故事-张惠妹,张惠妹,流行
Love So Sweet-Cherry Bullet,Cherry Bullet,流行
Neo Sky Neo Map-Love Live虹咲学园学园偶像同好会ED,虹咲学园学园偶像同好会,动漫
Party Favor-Billie Eilish,Billie Eilish,流行
EX-Stray Kids,Stray Kids,流行
ユメノトビラ-梦想之门-LoveLive,μ's,动漫
平行世界-简单版-刺杀小说家主题曲,邓紫棋,影视
